,E13ABetn03p04r1,E13ABetn03p04r2,E13ABetn03p04r3,E13ABetn03p04r4
2005,134.247,152.893,122.566,130.203
2006,121.336,105.329,109.217,106.024
2007,44.071,40.775,41.429,43.417
2008,72.24,40.367,44.814,21.426
2009,92.355,0,0,0
2010,39.604,0,0,0
2011,199.817,0,0,0
2012,76.572,0,0,0
2013,44.934,0,0,0
2014,95.625,0,0,0
2015,68.542,0,0,0
2016,68.848,0,0,0
2017,92.812,0,0,0
2018,65.924,0,0,0
2019,38.654,0,0,0
2020,20.865,0,0,0
