,E13VBetn03r01r1,E13VBetn03r01r2,E13VBetn03r01r3,E13VBetn03r01r4
2001,167.656,154.503,195.265,206.447
2002,111.71,95.267,113.174,114.213
2003,71.361,67.931,90.224,106.588
2004,101.979,103.166,140.255,124.716
2005,142.842,157.871,175.66,159.067
2006,313.595,311.359,274.639,305.559
2007,241.838,176.461,237.681,238.133
2008,166.441,116.703,119.743,134.8
2009,111.909,86.851,108.696,118.483
2010,6.681,2.578,14.13,10.87
2011,87.104,2.638,9.287,17.425
2012,90.722,1.702,11.249,76.087
2013,126.116,2.174,12.223,56.532
2014,114.286,63.974,102.451,45.665
2015,23.913,6.875,8.278,45.665
2016,9.448,4.861,6.875,8.763
2017,78.425,8.482,58.534,111.909
2018,214.768,183.316,246.296,375.354
2019,55.547,97.49,129,79.355
2020,84.058,190.17,208.302,179.348
