,E13VBetn03o03r1,E13VBetn03o03r2,E13VBetn03o03r3,E13VBetn03o03r4
2009,84.283,77.345,96.887,106.268
2010,67.745,54.887,77.124,60.029
2011,77.168,27.041,41.283,99.494
2012,76.586,69.975,86.987,103.763
2013,24.523,4.051,24.408,42.69
2014,7.251,13.008,27.482,41.319
2015,54.31,43.779,54.521,69.514
2016,17.992,46.298,52.726,42.673
2017,81.77,49.281,35.087,42.551
2018,180.69,105.312,132.164,138.263
2019,30.945,37.966,49.298,18.478
2020,71.644,54.705,52.863,75.002
