,E13VBetn02r03r1,E13VBetn02r03r2,E13VBetn02r03r3,E13VBetn02r03r4
2005,66.129,88.738,59.126,128.97
2006,171.794,148.727,178.692,124.598
2007,149.061,127.9,131.495,145.668
2008,226.506,242.833,235.213,140.222
2009,182.725,254.037,200.948,120.397
2010,223.988,264.806,213.812,143.478
2011,265.471,183.618,164.686,198.411
2012,99.117,72.355,123.529,76.713
2013,99.148,90.696,178.551,113.674
2014,105.732,58.423,119.842,95.806
2015,136.575,0.48,3.961,3.261
2016,34.365,0.735,2.879,3.261
2017,161.249,0.626,3.198,43.492
2018,497.455,0.531,154.102,422.826
2019,207.885,0.576,130.64,207.253
2020,43.797,0.576,5.663,77.662
