,E13VBetn02r04r1,E13VBetn02r04r2,E13VBetn02r04r3,E13VBetn02r04r4
2004,74.202,43.036,130.645,73.54
2005,104.232,125.521,83.632,129.809
2006,251.766,223.442,122.112,213.167
2007,166.067,130.354,62.108,132.791
2008,148.042,152.031,86.599,129.051
2009,111.625,128.555,82.806,102.779
2010,109.672,103.39,70.648,76.678
2011,31.859,56.154,40.63,60.697
2012,7.565,8.262,0,35.448
2013,136.734,31.427,0,102.287
2014,92.374,0,0,76.579
2015,14.673,0,0,20.763
2016,6.233,0,0,12.147
2017,48.853,0,0,129.339
2018,296.242,96.224,58.017,566.224
2019,47.241,50.831,0,261.257
2020,9.08,0,0,72.035
