,E13DBetn02r02r1,E13DBetn02r02r2,E13DBetn02r02r3,E13DBetn02r02r4
20061,81.482,41.217,68.784,62.404
2007,59.566,71.45,71.957,32.032
2008,35.977,35.292,37.493,28.14
2009,94.828,73.66,86.244,71.096
2010,65.137,67.675,63.937,69.459
2011,90.243,62.344,65.798,66.002
2012,91.652,81.421,93.616,120.858
2013,62.104,97.216,78.127,78.749
2014,22.039,14.605,27.971,56.804
2015,113.84,129.004,41.866,71.853
2016,99.982,102.663,26.605,70.896
2017,126.054,141.535,101.317,104.674
2018,217.87,194.696,146.558,149.018
2019,138.362,141.481,66.643,140.932
2020,69.874,77.874,53.447,67.372
